"CZAS","NO2 Dwutlenek azotu  [µg/m3]","NOx Tlenki azotu  [µg/m3]","NO Tlenek azotu  [µg/m3]","CO Tlenek węgla  [µg/m3]","CO Tlenek węgla 8h poz. dop.: 10000 [µg/m3]","C6H6 Benzen  [µg/m3]","PM10 Pył zawieszony PM10 poz. dop.: 50 [µg/m3]","PM2.5 Pył zawieszony PM2.5  [µg/m3]"
"01.02","45","133","57","777","1021","0,4","39","16"
"02.02","33","70","24","587","1015","0,3","18","10"
"03.02","51","127","50","704","822","0,4","27","17"
"04.02","53","155","66","732","941","0,3","18","13"
"05.02","44","113","45","632","751","0,3","22","11"
"06.02","45","116","47","656","796","0,8","",""
"07.02","63","209","95","689","933","0,6","41","23"
"08.02","70","234","107","1039","1469","1,7","76","41"
"09.02","68","255","122","1434","1867","3,6","116","71"
"10.02","58","171","74","669","1333","0,6","33","17"
"11.02","37","88","33","427","553","0,3","17","8"
"12.02","35","86","33","425","541","0,3","19","10"
"13.02","59","190","86","707","1156","0,6","41","17"
"14.02","57","172","75","672","1135","0,6","41","21"
"15.02","59","182","80","788","1257","0,9","51","31"
"16.02","75","290","140","1363","1516","2,3","83","52"
"17.02","85","301","141","1102","1591","1,2","70","33"
"18.02","50","123","48","592","1142","0,5","35","20"
"19.02","56","169","73","632","802","0,5","43","17"
"20.02","56","187","85","746","1128","0,7","52","28"
"21.02","56","194","90","807","1167","1,0","47","28"
"22.02","57","175","77","742","1095","0,7","51","27"
"23.02","40","99","39","562","856","0,3","12","7"
"24.02","47","134","57","597","1011","0,5","30","14"
"25.02","63","200","89","784","1002","0,6","31","18"
"26.02","56","156","65","642","796","0,4","29","14"
"27.02","58","177","77","736","1122","0,6","26","17"
"28.02","58","157","65","758","1175","1,0","46","31"
"29.02","66","165","65","722","862","0,5","43","20"
"wartość średnia","55","167","73","751","","0,8","41","23"
"minimum","33","70","24","425","541","0,3","12","7"
"maksimum","85","301","141","1434","1867","3,6","116","71"
